[indoor_door_leaf_Tile_1] 20/113 views, 14s
[indoor_door_leaf_Tile_1] 40/113 views, 25s
[indoor_door_leaf_Tile_1] 60/113 views, 38s
[indoor_door_leaf_Tile_1] 80/113 views, 46s
[indoor_door_leaf_Tile_1] 100/113 views, 57s
[indoor_door_leaf_Tile_1] 113/113 views, 63s
### indoor_door_leaf_Tile_1 (radius 24 px)

| scope | n | median | min | Q1-Q3 |
|---|---|---|---|---|
| all views | 113 | 0.993 | 0.891 | 0.979-1.000 |
| pitch_down | 7 | 0.994 | 0.987 | 0.989-0.999 |
| pitch_up | 40 | 0.963 | 0.891 | 0.943-1.000 |
| yaw | 66 | 0.998 | 0.967 | 0.987-1.000 |
| ROI (all) | 63 | 1.000 | 0.997 | 1.000-1.000 |
| ROI pitch_up | 13 | 1.000 | 1.000 | 1.000-1.000 |
| ROI yaw | 50 | 1.000 | 0.997 | 1.000-1.000 |

pixel-weighted supervised share 0.980; views without any LiDAR return: 0 / 113
